,kWh,year_start,month_start,day_start,hour_start,minute_start,year_end,month_end,day_end,hour_end,minute_end,duration
0,0.3,2018,12,21,10,20,2018,12,21,10,23,0 days 00:03:00
1,0.87,2018,12,21,10,24,2018,12,21,10,32,0 days 00:08:00
2,29.87,2018,12,21,11,33,2018,12,21,19,46,0 days 08:13:00
3,15.56,2018,12,22,16,15,2018,12,23,16,40,1 days 00:25:00
4,3.62,2018,12,24,22,3,2018,12,24,23,2,0 days 00:59:00
5,16.14,2018,12,24,23,32,2018,12,25,17,37,0 days 18:05:00
6,10.33,2018,12,25,18,25,2018,12,26,16,8,0 days 21:43:00
7,27.66,2018,12,26,10,41,2018,12,26,16,52,0 days 06:11:00
8,8.83,2018,12,26,18,46,2018,12,26,21,8,0 days 02:22:00
9,8.58,2018,12,29,16,4,2018,12,29,20,55,0 days 04:51:00
10,15.95,2018,12,29,23,48,2018,12,30,15,13,0 days 15:25:00
11,3.64,2018,12,30,16,24,2018,12,30,17,23,0 days 00:59:00
12,9.79,2018,12,30,22,0,2018,12,31,11,28,0 days 13:28:00
13,28.11,2019,1,2,8,39,2019,1,3,9,11,1 days 00:32:00
14,14.64,2019,1,2,19,59,2019,1,3,0,52,0 days 04:53:00
15,2.0,2019,1,4,15,44,2019,1,5,8,6,0 days 16:22:00
16,29.34,2019,1,5,17,10,2019,1,6,16,24,0 days 23:14:00
17,14.77,2019,1,5,18,4,2019,1,6,17,39,0 days 23:35:00
18,10.46,2019,1,5,20,6,2019,1,6,13,23,0 days 17:17:00
19,3.92,2019,1,6,18,2,2019,1,6,21,31,0 days 03:29:00
20,0.08,2019,1,7,20,2,2019,1,7,20,5,0 days 00:03:00
21,6.14,2019,1,7,20,5,2019,1,8,10,5,0 days 14:00:00
22,5.34,2019,1,8,19,28,2019,1,9,12,1,0 days 16:33:00
23,18.7,2019,1,9,16,46,2019,1,10,10,20,0 days 17:34:00
24,10.38,2019,1,9,20,59,2019,1,10,15,19,0 days 18:20:00
25,1.85,2019,1,9,22,35,2019,1,9,23,10,0 days 00:35:00
26,0.34,2019,1,9,23,53,2019,1,9,23,56,0 days 00:03:00
27,5.1,2019,1,10,16,30,2019,1,10,17,20,0 days 00:50:00
